Type,bedroom,bathroom,furnishing,Carpet Area (ft²),Maintenance (Monthly),facing,Total floor,Rent
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,570,4,Suraksha Apartment,1,"₹ 7,900"
Houses & Villas,2,2,Semi-Furnished,1200,0,North,3,"₹ 15,000"
Apartments,3,3,Furnished,2200,5000,North,15,"₹ 68,200"
Houses & Villas,2,2,Semi-Furnished,1000,1000,East,2,"₹ 13,000"
Apartments,3,3,Furnished,2200,5000,North,15,"₹ 55,00,000"
Apartments,1,1,Semi-Furnished,560,4,Ajantha Arcade,1,"₹ 7,700"
Houses & Villas,2,2,Semi-Furnished,1000,0,North,2,"₹ 10,00,000"
Houses & Villas,2,2,Furnished,20,0,East,0,"₹ 10,000"
Apartments,2,2,Furnished,1100,2000,North,5,"₹ 26,000"
Apartments,2,2,Furnished,1006,2700,East,4,"₹ 27,000"
Houses & Villas,2,2,Furnished,500,0,North,2,"₹ 12,000"
Apartments,3,3,Semi-Furnished,2280,5000,East,20,"₹ 52,69,000"
Apartments,3,3,Semi-Furnished,2200,5000,East,30,"₹ 45,00,000"
Houses & Villas,1,1,Unfurnished,300,4500,shreekanth b a,4000,"₹ 4,500"
Apartments,3,2,Semi-Furnished,1250,2100,West,5,"₹ 22,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Semi-Furnished,750,0,East,2,"₹ 7,500"
Apartments,2,2,Semi-Furnished,1023,3000,East,5,"₹ 18,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,2,Semi-Furnished,1200,600,North,5,"₹ 7,500"
Builder Floors,2,2,Semi-Furnished,800,2500,East,3,"₹ 8,20,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,2,Semi-Furnished,900,4000,West,7,"₹ 23,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,1500,25,Salarpuria Sattva Greeanage,1,"₹ 24,50,000"
Builder Floors,1,2,Unfurnished,6,2100,East,2,"₹ 2,100"
Apartments,3,3,Semi-Furnished,1300,3500,South-East,4,"₹ 28,00,000"
Builder Floors,3,2,Semi-Furnished,1000,0,North-East,2,"₹ 18,000"
Houses & Villas,1,Unfurnished,Owner,Yes,3,House for rent,1,"₹ 4,500"
Builder Floors,1,1,Semi-Furnished,600,1000,East,4,"₹ 12,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,500,1000,East,4,"₹ 15,000"
Apartments,2,2,Semi-Furnished,1050,2500,South-West,3,"₹ 13,000"
Houses & Villas,2,2,Semi-Furnished,600,1000,East,3,"₹ 10,50,000"
Builder Floors,3,2,Semi-Furnished,1513,1500,East,5,"₹ 19,00,000"
Apartments,3,3,Semi-Furnished,1517,5000,East,4,"₹ 20,00,000"
Apartments,3,3,Semi-Furnished,1546,4000,East,13,"₹ 25,00,000"
Apartments,3,3,Semi-Furnished,1897,6000,Prestige falcon city.,32,"₹ 25,00,000"
Houses & Villas,1,1,Semi-Furnished,300,0,East,3,"₹ 5,000"
Apartments,2,2,Semi-Furnished,1200,4200,North,12,"₹ 15,50,000"
Builder Floors,4+,4+,Unfurnished,00,0123,Home shifting boyz,0123,"₹ 5,000"
Apartments,2,2,Semi-Furnished,950,2000,North,4,"₹ 20,000"
Apartments,3,3,Semi-Furnished,1450,5000,East,10,"₹ 33,000"
Apartments,1,1,Semi-Furnished,580,0,East,4,"₹ 10,000"
Apartments,2,2,Semi-Furnished,1200,3000,East,4,"₹ 17,00,000"
Houses & Villas,2,2,Semi-Furnished,650,2000,South-East,1,"₹ 7,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,2,1,Semi-Furnished,600,15000,East,2,"₹ 15,000"
Apartments,2,1,Semi-Furnished,620,0,North,7,"₹ 10,000"
Apartments,1,1,Furnished,500,1000,East,6,"₹ 15,000"
Apartments,4+,2,Furnished,1500,250,North-East,4,"₹ 12,000"
Houses & Villas,1,1,Semi-Furnished,15,0,North,2,"₹ 4,500"
Houses & Villas,2,2,Unfurnished,850,0,East,1,"₹ 7,000"
Houses & Villas,2,3,Semi-Furnished,1200,14000,East,2,"₹ 14,000"
Houses & Villas,2,2,Furnished,600,100,East,2,"₹ 7,00,000"
Apartments,3,3,Semi-Furnished,2300,4000,North,5,"₹ 15,00,000"
Builder Floors,2,2,Semi-Furnished,750,1000,West,4,"₹ 16,000"
Houses & Villas,1,1,Semi-Furnished,0,0,South-East,2,"₹ 4,00,000"
Builder Floors,1,1,Semi-Furnished,525,500,North,2,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,1200,0,East,3,"₹ 14,000"
Apartments,3,2,Semi-Furnished,1400,5000,NCC Maple Heights,14,"₹ 37,000"
Apartments,3,3,Semi-Furnished,1400,1,North,4,"₹ 21,000"
Houses & Villas,2,3,Semi-Furnished,1100,15000,East,2,"₹ 15,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,1,1,Semi-Furnished,800,500,East,4,"₹ 8,500"
Houses & Villas,2,1,Semi-Furnished,0,0,Rajappa building,3,"₹ 5,00,000"
Apartments,2,2,Furnished,862,2000,East,15,"₹ 28,000"
Apartments,1,1,Furnished,500,0,East,5,"₹ 14,000"
Apartments,1,1,Furnished,500,750,East,3,"₹ 23,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,950,500,South,1,"₹ 15,000"
Houses & Villas,1,1,Furnished,2000,5000,Shri Sai Properties,0,"₹ 5,000"
Builder Floors,2,2,Semi-Furnished,1200,1000,North,4,"₹ 16,00,000"
Apartments,2,2,Semi-Furnished,1600,5,Kiran apartment,1,"₹ 14,00,000"
Apartments,3,3,Semi-Furnished,1500,2500,East,3,"₹ 18,00,000"
Houses & Villas,3,3,Semi-Furnished,1500,2000,East,2,"₹ 17,50,000"
Apartments,3,2,Semi-Furnished,1250,000,West,4,"₹ 16,000"
Apartments,3,3,Semi-Furnished,1600,1800,East,1600,"₹ 19,00,000"
Apartments,3,3,Semi-Furnished,1500,5000,South,4,"₹ 24,00,000"
Apartments,3,3,Semi-Furnished,1500,5000,West,5,"₹ 21,00,000"
Apartments,3,3,Semi-Furnished,1900,7,Gowri shankar,3,"₹ 23,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,1300,6000,Renaissance temple belles,12,"₹ 30,00,000"
Apartments,3,3,Semi-Furnished,1800,5000,North,18,"₹ 17,15,000"
Houses & Villas,2,2,Furnished,800,500,North-East,3,"₹ 12,000"
Houses & Villas,2,1,Semi-Furnished,1000,300,Independent House,3,"₹ 14,000"
Builder Floors,1,1,Semi-Furnished,400,500,North-East,3,"₹ 6,000"
Apartments,2,2,Semi-Furnished,1600,5000,East,25,"₹ 24,50,000"
Apartments,3,3,Semi-Furnished,2200,5000,North-East,38,"₹ 52,00,000"
Houses & Villas,2,2,Furnished,1200,0,Individual House in Gatted Community,1,"₹ 12,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,1200,4000,West,3,"₹ 15,40,000"
Apartments,2,2,Semi-Furnished,1200,3500,East,6,"₹ 13,50,000"
Apartments,2,2,Semi-Furnished,1300,4000,West,9,"₹ 18,00,000"
Apartments,3,3,Semi-Furnished,1500,3000,West,6,"₹ 19,00,000"
Builder Floors,3,3,Semi-Furnished,1500,5000,West,3,"₹ 26,00,000"
Apartments,3,3,Semi-Furnished,1500,5000,East,12,"₹ 22,50,000"
Apartments,3,3,Semi-Furnished,1700,6000,West,32,"₹ 28,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,1,Semi-Furnished,300,000,South,0,"₹ 2,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,1000,00,Kottara mangaluru,2,"₹ 12,000"
Houses & Villas,2,2,Furnished,800,500,North-East,3,"₹ 12,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,300,0,East,3,"₹ 4,00,000"
Apartments,3,3,Semi-Furnished,1600,2000,East,7,"₹ 20,00,000"
Builder Floors,1,1,Semi-Furnished,500,0,East,3,"₹ 8,000"
Houses & Villas,2,1,Unfurnished,650,0,East,1,"₹ 7,500"
Apartments,2,2,Semi-Furnished,5200,2000,East,5,"₹ 4,500"
Apartments,3,3,Semi-Furnished,1600,2000,East,8,"₹ 20,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,200,0,South,2,"₹ 5,000"
Apartments,3,3,Semi-Furnished,1600,3000,East,4,"₹ 37,00,000"
Builder Floors,2,2,Unfurnished,500,0,East,3,"₹ 15,000"
Apartments,2,2,Semi-Furnished,9663638980,0,North,3,"₹ 10,000"
Houses & Villas,2,2,Furnished,2400,0,North,1,"₹ 16,000"
Apartments,3,3,Semi-Furnished,1600,3500,East,7,"₹ 20,00,000"
Apartments,2,2,Semi-Furnished,900,3000,South,3,"₹ 13,00,000"
Apartments,2,2,Semi-Furnished,1000,500,North,4,"₹ 14,000"
Apartments,2,2,Semi-Furnished,1200,22000,North,4,"₹ 22,000"
Apartments,2,2,Semi-Furnished,950,2,Rajpurohit Nivasa,0,"₹ 8,500"
Builder Floors,2,1,Semi-Furnished,520,400,LEASE OR RENT,2,"₹ 5,70,000"
Houses & Villas,2,2,Semi-Furnished,1100,4,Sri Nivasam,2,"₹ 16,500"
Houses & Villas,2,2,Semi-Furnished,1800,0,South,2,"₹ 15,000"
Apartments,2,2,Furnished,10,2000,"Flat No : 303, Vishwas Paradise, Arekere",4,"₹ 13,500"
Houses & Villas,2,1,Unfurnished,400,5500,Harish nilaya,2,"₹ 5,500"
Houses & Villas,1,1,Unfurnished,400,0,North,4,"₹ 6,000"
Houses & Villas,1,1,Unfurnished,50,1000,East,3,"₹ 5,00,000"
Houses & Villas,2,1,Semi-Furnished,960,12000,East,3,"₹ 12,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,200,7000,North,3,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,2,3,Semi-Furnished,1100,1500,East,2,"₹ 14,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Unfurnished,450,500,North,5,"₹ 11,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,1,1,Unfurnished,450,0,North,2,"₹ 7,000"
Houses & Villas,1,1,Semi-Furnished,3500,500,East,3,"₹ 4,200"
Apartments,3,3,Semi-Furnished,1600,3000,East,4,"₹ 19,60,000"
Builder Floors,1,1,Unfurnished,200,300,North-East,2,"₹ 10,000"
Houses & Villas,3,3,Unfurnished,2000,20000,North,2,"₹ 20,000"
Apartments,3,2,Semi-Furnished,950,3100,North-East,4,"₹ 25,000"
Apartments,2,2,Furnished,509,1500,East,4,"₹ 16,000"
Apartments,3,3,Semi-Furnished,1600,3000,East,18,"₹ 15,00,000"
Apartments,3,3,Semi-Furnished,1700,3000,East,25,"₹ 26,00,000"
Apartments,2,2,Semi-Furnished,1200,2000,East,7,"₹ 14,60,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,1100,1750,East,5,"₹ 22,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,2,2,Semi-Furnished,900,0,East,2,"₹ 10,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,1,1,Furnished,600,0,North,0,"₹ 8,000"
Apartments,3,3,Semi-Furnished,1500,2000,East,3,"₹ 18,00,000"
Apartments,3,3,Furnished,1403,2000,Divya Jyothi Emeralds,4,"₹ 18,500"
Houses & Villas,4,3,Semi-Furnished,1254,5000,Geown Oasis,2,"₹ 20,000"
Apartments,2,2,Semi-Furnished,1000,1000,North,5,"₹ 14,000"
Apartments,2,2,Semi-Furnished,1300,4000,East,32,"₹ 18,00,000"
Apartments,3,3,Semi-Furnished,1600,2000,East,15,"₹ 16,00,000"
Apartments,3,2,Furnished,1300,2500,North-East,5,"₹ 30,000"
Apartments,2,2,Semi-Furnished,800,1700,North,4,"₹ 15,000"
Houses & Villas,1,1,Unfurnished,00,00,East,1,"₹ 4,500"
Builder Floors,2,2,Semi-Furnished,500,0,East,3,"₹ 15,000"
Apartments,3,3,Semi-Furnished,1600,6200,West,31,"₹ 29,80,009"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Semi-Furnished,600,1000,East,3,"₹ 12,500"
Apartments,3,3,Semi-Furnished,1510,3000,East,5,"₹ 19,00,000"
Apartments,2,2,Semi-Furnished,1000,3000,East,4,"₹ 15,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,1680,5000,South-East,5,"₹ 27,58,009"
Apartments,3,3,Semi-Furnished,1740,5000,South-East,5,"₹ 27,18,009"
Apartments,2,2,Semi-Furnished,950,3000,North,4,"₹ 21,000"
Houses & Villas,1,1,Semi-Furnished,450,8000,North,3,"₹ 8,000"
Houses & Villas,1,1,Semi-Furnished,650,0,East,3,"₹ 10,000"
Houses & Villas,2,1,Unfurnished,600,197,East,1,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,2,2,Semi-Furnished,950,1000,East,3,"₹ 20,000"
Apartments,3,3,Semi-Furnished,1680,6500,West,31,"₹ 28,50,000"
Houses & Villas,2,2,Semi-Furnished,1200,0,North,2,"₹ 14,000"
Apartments,3,3,Semi-Furnished,1580,5000,East,18,"₹ 21,80,009"
Houses & Villas,2,2,Semi-Furnished,1000,500,North,0,"₹ 18,000"
Apartments,2,2,Semi-Furnished,1350,2800,East,4,"₹ 20,18,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Furnished,300,0,East,4,"₹ 25,000"
Apartments,1,1,Furnished,150,0,North,4,"₹ 12,000"
Apartments,1,1,Furnished,300,0,East,4,"₹ 25,000"
Apartments,1,1,Furnished,200,0,North,4,"₹ 23,000"
Apartments,2,2,Semi-Furnished,1387,3000,VM Meadows,4,"₹ 17,00,000"
Apartments,3,3,Furnished,2200,0,East,16,"₹ 90,000"
Apartments,2,2,Semi-Furnished,550,1000,North,4,"₹ 9,000"
Houses & Villas,2,2,Semi-Furnished,650,100,East,2,"₹ 9,000"
Builder Floors,2,1,Semi-Furnished,900,0,East,3,"₹ 7,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,1,1,Semi-Furnished,650,500,East,4,"₹ 10,499"
Apartments,3,3,Semi-Furnished,1200,500,North-East,4,"₹ 4,999"
Apartments,2,2,Semi-Furnished,550,1200,Janadhar Subha,8,"₹ 7,000"
Apartments,2,2,Semi-Furnished,1280,2500,East,4,"₹ 20,80,000"
Apartments,2,2,Semi-Furnished,1200,3500,East,4,"₹ 15,00,000"
Builder Floors,3,2,Semi-Furnished,1199,500,North-East,4,"₹ 15,999"
-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,1,1,Semi-Furnished,800,100,North,1,"₹ 4,800"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Builder Floors,2,2,Semi-Furnished,1013,2000,North,4,"₹ 15,00,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Semi-Furnished,400,0,East,3,"₹ 9,000"
Builder Floors,1,1,Furnished,300,0,North,3,"₹ 6,500"
Apartments,2,2,Semi-Furnished,750,250,North,4,"₹ 9,000"
Apartments,2,2,Semi-Furnished,1200,3500,East,4,"₹ 10,80,000"
Apartments,2,2,Semi-Furnished,1280,5000,East,20,"₹ 24,49,509"
Apartments,3,3,Semi-Furnished,1500,5000,East,32,"₹ 18,00,000"
Apartments,3,3,Furnished,1650,2000,East,9,"₹ 22,000"
Houses & Villas,2,1,Furnished,2600,3,Jeevan Chaitra,1,"₹ 15,000"
Apartments,2,2,Semi-Furnished,980,1500,South-East,5,"₹ 10,000"
Apartments,2,2,Semi-Furnished,1085,1200,North-East,9,"₹ 11,000"
Houses & Villas,1,1,Semi-Furnished,300,300,East,3,"₹ 5,500"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Apartments,3,3,Semi-Furnished,1650,5000,East,4,"₹ 37,50,000"
Apartments,2,2,Semi-Furnished,1280,4500,East,6,"₹ 14,69,800"
Apartments,2,2,Semi-Furnished,1180,2000,North,6,"₹ 17,47,999"
Apartments,2,2,Semi-Furnished,1175,4100,East,8,"₹ 14,69,800"
Apartments,3,3,Semi-Furnished,1600,5000,East,9,"₹ 24,50,000"
Apartments,2,2,Semi-Furnished,1400,2000,East,8,"₹ 17,50,000"
Builder Floors,3,1,Semi-Furnished,600,2,Gururaja nilaya,0,"₹ 9,000"
Apartments,1,1,Furnished,525,500,East,5,"₹ 15,000"
Builder Floors,2,2,Semi-Furnished,771,0,North,3,"₹ 9,500"
Houses & Villas,2,1,Semi-Furnished,700,0,South,2,"₹ 18,000"
Houses & Villas,1,1,Semi-Furnished,450,0,East,3,"₹ 14,000"
Houses & Villas,1,1,Semi-Furnished,550,0,North,2,"₹ 6,000"
Apartments,2,2,Semi-Furnished,1100,4,Rms,1,"₹ 20,500"
Apartments,2,2,Semi-Furnished,1280,2000,North,8,"₹ 17,48,600"
Apartments,3,3,Semi-Furnished,1790,6000,North,20,"₹ 27,98,000"
Apartments,3,3,Semi-Furnished,1600,2000,East,4,"₹ 11,10,000"
Houses & Villas,1,1,Furnished,250,0,East,4,"₹ 25,000"
-1,-1,-1,-1,-1,-1,-1,-1,-1
Houses & Villas,1,1,Unfurnished,400,0,East,0,"₹ 4,500"
Houses & Villas,1,1,Semi-Furnished,450,0,East,2,"₹ 10,000"
Houses & Villas,2,2,Semi-Furnished,1000,0,East,3,"₹ 33,000"
Houses & Villas,2,2,Dealer,Yes,2,0,0,"₹ 20,000"
Apartments,2,2,Semi-Furnished,17000,2500,South,4,"₹ 25,000"
Houses & Villas,1,1,Furnished,200,0,East,3,"₹ 10,000"
Apartments,1,1,Semi-Furnished,1600,100,SIRI MANE,4,"₹ 6,500"
Apartments,3,3,Furnished,1683,2000,Nitesh Forest Hills,12,"₹ 6,767"
Builder Floors,2,2,Semi-Furnished,799,0,North,3,"₹ 9,500"
Houses & Villas,2,1,Semi-Furnished,540,0,East,1,"₹ 12,000"
Houses & Villas,1,1,Furnished,950,0,East,3,"₹ 20,000"
Apartments,3,3,Semi-Furnished,2280,6000,East,14,"₹ 52,18,000"
Houses & Villas,2,2,Semi-Furnished,1200,0,North-East,1,"₹ 12,000"
Apartments,3,3,Semi-Furnished,1600,6000,East,12,"₹ 23,00,000"
Apartments,2,2,Semi-Furnished,1200,4000,East,5,"₹ 30,000"
Apartments,3,2,Semi-Furnished,1180,3000,East,4,"₹ 17,00,000"
